
Symbol table '.dynsym' contains 12096 entries:
   Num:    Value  Size Type    Bind   Vis       Ndx Name
    51: 00f35e3c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.worldWidthMacro
    52: 00f35e34     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.world
    53: 00f35e54     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.timer
    54: 00f35df4     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.takenIndices
    55: 00f35e38     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.stopAllParticles
    56: 00f35e10     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.shader
    57: 00f35df8     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.particles
    58: 00f35e30     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.noiseFunction
    59: 00f35dfc     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.glData
    60: 00f35df0     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.freeIndices
    61: 00f35e04     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.electrictyTakenIndices
    62: 00f35e08     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.electrictyParticles
    63: 00f35e0c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.electrictyGlData
    64: 00f35e00     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.electrictyFreeIndices
    65: 00f35e48     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.cameraMinYWorld
    66: 00f35e40     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.cameraMinXWorld
    67: 00f35e4c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.cameraMaxYWorld
    68: 00f35e44     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.cameraMaxXWorld
    69: 00f35e28     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.bonusTexture
    70: 00f35e18     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.bonusTakenIndices
    71: 00f35e2c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.bonusShader
    72: 00f35e1c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.bonusParticles
    73: 00f35e24     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.bonusGlIndices
    74: 00f35e20     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.bonusGlData
    75: 00f35e14     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.bonusFreeIndices
    76: 00f35e50     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ParticleEmitter.bonusDelay
    77: 00e924d4    20 OBJECT  GLOBAL DEFAULT    32 OBJC_METACLASS_$_TradePortalBuySellButton
    78: 00f35dec     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_TradePortalBuySellButton.usageMultiplier
    79: 00f35de0     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_TradePortalBuySellButton.listedPrice
    80: 00f35de4     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_TradePortalBuySellButton.listedCount
    81: 00f35de8     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_TradePortalBuySellButton.itemType
    82: 00e924ac    20 OBJECT  GLOBAL DEFAULT    32 OBJC_METACLASS_$_CaveTroll
    83: 00f35cf8     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.wasLit
    84: 00f35d54     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.walkTimer
    85: 00f35dcc     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.waitingPathGoalPos
    86: 00f35d48     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.waitingForPath
    87: 00f35d40     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.waitingBeforeRetaliationBlockhead
    88: 00f35cfc     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.traverseType
    89: 00f35d04     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.traverseToKeyFrame
    90: 00f35d00     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.traverseFromKeyFrame
    91: 00f35cd4     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.travelSpeed
    92: 00f35d6c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.travelFractionNormalized
    93: 00f35cd0     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.travelFraction
    94: 00f35cd8     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.toTile
    95: 00f35ccc     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.toSquare
    96: 00f35d08     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.terrainDifficulty
    97: 00f35d1c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.tappedNPC
    98: 00f35c98     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.state
    99: 00f35c9c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.shader
   100: 00f35d64     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.riderTargetVelocity
   101: 00f35da8     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.riderPosition
   102: 00f35d80     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.returnToDefense
   103: 00f35ca0     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.renderShader
   104: 00f35d8c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.renderPos
   105: 00f35d90     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.recoilTimer
   106: 00f35da0     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.recoilDirection
   107: 00f35cc4     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.randomIdleWait
   108: 00f35d60     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.randomAnimationValueC
   109: 00f35d5c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.randomAnimationValueB
   110: 00f35d58     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.randomAnimationValueA
   111: 00f35d7c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.randomAIWait
   112: 00f35d88     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.prevGoalRotationType
   113: 00f35dd8     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.pathRecalculationIsFallPath
   114: 00f35d44     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.pathNeedsRecalculated
   115: 00f35d18     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.pathExtraData
   116: 00f35d14     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.path
   117: 00f35ddc     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.noRemoteActionTimer
   118: 00f35d2c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.nextTraverseType
   119: 00f35d30     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.nextTraverseToKeyFrame
   120: 00f35ce8     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.nextToSquare
   121: 00f35cec     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.nextTerrainDifficulty
   122: 00f35cf4     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.nextSubAnimationType
   123: 00f35d38     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.nextInteractionType
   124: 00f35d3c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.nextInteractionSquare
   125: 00f35d34     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.nextInteracting
   126: 00f35cf0     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.nextAnimationType
   127: 00f35dc8     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.mrightLegMatrix
   128: 00f35dc0     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.mrightArmMatrix
   129: 00f35dc4     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.mleftLegMatrix
   130: 00f35dbc     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.mleftArmMatrix
   131: 00f35d4c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.mheadMatrix
   132: 00f35db8     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.mbodyMatrix
   133: 00f35d94     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.lightColor
   134: 00f35cbc     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.legTexture
   135: 00f35cc0     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.legCube
   136: 00f35d78     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.lastPathWasMoveOnly
   137: 00f35d74     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.lastPathWasFalling
   138: 00f35d10     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.lastKnownNPCPosition
   139: 00f35ce4     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.interactingTile
   140: 00f35d50     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.idleTimer
   141: 00f35dd4     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.headYRotation
   142: 00f35dac     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.headXRotation
   143: 00f35ca4     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.headTexture
   144: 00f35ca8     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.headCube
   145: 00f35d28     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.hasHadRemoteUpdate
   146: 00f35cdc     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.fromTile
   147: 00f35cc8     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.fromSquare
   148: 00f35d70     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.footstepPingPong
   149: 00f35d20     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.finalGoalSquare
   150: 00f35ce0     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.defendSquare
   151: 00f35db0     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.daylightColor
   152: 00f35d24     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.currentNetQueueSize
   153: 00f35d68     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.currentMovementWasInitiatedByRider
   154: 00f35d0c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.chasingNPC
   155: 00f35d84     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.cannotReturn
   156: 00f35d9c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.bodyZRotation
   157: 00f35da4     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.bodyTwistRotation
   158: 00f35cac     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.bodyTexture
   159: 00f35d98     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.bodyRotation
   160: 00f35cb0     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.bodyCube
   161: 00f35db4     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.artificialLightColor
   162: 00f35cb4     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.armTexture
   163: 00f35cb8     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_CaveTroll.armCube
   164: 00e92484    20 OBJECT  GLOBAL DEFAULT    32 OBJC_METACLASS_$_ColorPickerControl
   165: 00f35c8c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ColorPickerControl.shader
   166: 00f35c84     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ColorPickerControl.oneBasedColor
   167: 00f35c94     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ColorPickerControl.knobTexture
   168: 00f35c90     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ColorPickerControl.knobShader
